"5,770,111","12/403,405",35USC102
"6,029,046","09/604,222",35USC102
"5,552,994","09/525,491",35USC102
"5,974,135","09/235,065",35USC102
"5,906,830","09/700,177",35USC102
"4,055,186","11/304,400",35USC102
"6,060,207","09/330,418",35USC102
"5,374,958","09/905,039",35USC102
"7,491,201","11/500,688",35USC102
"6,160,618","11/704,689",35USC102
"6,504,571","09/800,093",35USC102
"5,824,311","09/602,812",35USC102
"6,296,344","10/302,668",35USC102
"6,075,920","09/618,731",35USC102
"5,972,199","11/301,512",35USC102
"3,913,579","09/342,719",35USC102
"5,849,489","09/031,087",35USC103
"6,208,415","11/200,228",35USC103
"6,168,948","10/202,462",35USC102
"5,529,937","09/908,727",35USC103
"5,492,252","11/900,335",35USC102
"6,356,934","09/706,297",35USC102
"6,048,726","09/800,629",35USC103
"5,403,326","11/900,757",35USC102
"4,904,275","12/003,329",35USC103
"5,621,889","10/304,825",35USC102
"6,201,893","09/600,936",35USC103
"6,687,247","11/402,068",35USC103
"5,361,968","09/160,991",35USC102
"6,167,383","09/608,356",35USC103
"7,176,942","11/202,324",35USC119
"6,266,103","11/500,448",35USC102
"6,324,520","09/345,092",35USC102
"5,851,988","09/400,769",35USC102
"5,446,587","11/602,977",35USC102
"6,273,852","10/306,179",35USC102
"3,874,388","10/302,269",35USC102
"4,925,670","09/310,740",35USC102
"6,249,772","09/348,566",35USC102
"5,011,912","10/201,328",35USC102
"6,067,551","09/703,884",35USC102
"4,997,928","11/203,048",35USC102
"6,466,234","09/616,214",35USC103
"5,849,495","09/259,658",35USC102
"6,597,675","12/601,507",35USC102
"6,050,980","09/911,218",35USC102
"4,031,579","10/403,255",35USC102
"6,088,731","09/245,798",35USC103
"6,336,099","09/610,107",35USC102
"5,815,313","10/404,536",35USC102
"5,650,291","10/500,838",35USC102
"5,947,945","10/306,074",35USC102
"4,994,370","09/701,626",35USC103
"4,879,252","10/004,645",35USC102
"6,143,727","09/242,202",35USC102
"5,075,430","10/306,347",35USC102
"5,616,899","09/621,716",35USC102
"6,644,308","11/101,657",35USC102
"5,916,870","11/304,492",35USC102
"5,303,225","09/807,865",35USC102
"6,365,917","09/809,646",35USC102
"5,648,778","09/163,588",35USC102
"5,196,740","12/902,137",35USC102
"5,847,105","10/107,556",35USC119
"5,136,501","09/253,014",35USC103
"5,809,494","09/323,512",35USC103
"6,189,876","09/527,931",35USC102
"5,945,032","10/304,860",35USC102
"5,391,173","09/198,087",35USC102
"6,713,119","10/304,360",35USC102
"5,758,259","09/356,161",35USC102
"6,674,562","11/906,542",35USC102
"6,475,658","09/602,187",35USC102
"6,748,410","10/005,105",35USC102
"5,706,097","10/001,849",35USC102
"5,990,092","09/361,576",35USC102
"6,292,789","10/400,081",35USC102
"5,945,525","11/200,955",35USC102
"5,607,023","10/602,210",35USC102
"5,835,896","09/506,808",35USC102
"6,596,437","10/501,333",35USC102
"5,476,647","09/400,757",35USC122
"5,026,559","11/202,713",35USC102
"4,263,972","09/805,483",35USC102
"5,802,495","09/100,100",35USC103
"6,772,132","10/304,248",35USC102
"6,271,039","11/201,768",35USC102
"6,793,491","11/603,749",35USC102
"5,907,658","10/501,543",35USC102
"4,790,810","10/100,993",35USC102
"5,903,246","10/506,371",35USC102
"6,085,177","09/077,337",35USC102
"6,096,668","11/304,487",35USC103
"5,285,494","10/004,346",35USC102
"5,152,695","09/710,539",35USC102
"6,865,555","12/301,022",35USC102
"3,835,857","09/606,721",35USC102
"5,977,974","09/601,150",35USC102
"6,124,362","09/619,142",35USC103
"5,965,276","10/107,410",35USC103
"5,592,094","11/104,697",35USC119
"6,414,594","09/802,512",35USC102
"6,341,602","12/400,730",35USC102
"6,659,939","10/400,359",35USC102
"8,006,261","12/702,665",35USC102
"5,420,247","10/000,439",35USC102
"6,805,872","11/101,648",35USC102
"5,843,647","10/203,139",35USC102
"4,673,472","10/902,398",35USC103
"5,459,128","08/927,939",35USC102
"7,482,013","13/000,938",35USC119
"4,862,357","09/275,887",35USC102
"5,923,362","09/402,524",35USC102
"6,300,092","10/305,348",35USC102
"6,156,337","11/201,810",35USC102
"5,535,321","09/330,651",35USC102
"6,093,809","08/974,584",35USC102
"6,245,672","11/401,902",35USC102
"6,096,272","10/305,722",35USC102
"5,956,458","09/705,656",35USC102
"6,340,959","09/911,409",35USC102
"5,476,765","08/487,032",35USC102
"4,953,210","09/281,813",35USC102
"6,516,189","09/709,211",35USC102
"5,640,456","09/404,547",35USC119
"5,909,491","09/530,334",35USC102
"5,989,945","09/701,534",35USC102
"5,968,434","10/900,518",35USC102
"5,693,522","09/276,484",35USC102
"5,057,144","09/194,261",35USC102
"6,303,130","11/502,836",35USC102
"6,408,045","09/714,747",35USC102
"5,841,452","11/603,825",35USC102
"5,583,560","09/410,332",35USC102
"6,248,713","09/127,364",35USC102
"7,147,937","11/202,130",35USC102
"6,381,644","10/104,061",35USC102
"6,507,662","10/300,659",35USC102
"5,844,644","09/601,195",35USC102
"5,987,440","09/190,727",35USC102
"6,990,453","10/200,034",35USC102
"6,179,820","10/500,347",35USC119
"5,434,509","10/107,621",35USC103
"5,715,403","11/102,525",35USC102
"5,866,659","10/203,545",35USC103
"6,908,636","10/603,132",35USC103
"6,422,462","09/617,361",35USC102
"5,130,793","08/624,564",35USC102
"6,444,214","09/900,746",35USC102
"4,107,235","08/987,775",35USC103
